,loss,reconstruction_loss,kl_loss,lr
0,6320.21142578125,2102.020751953125,14.14906120300293,0.001
1,3367.8486328125,1105.71533203125,50.70282745361328,0.001
2,3328.7861328125,1095.79248046875,41.40897750854492,0.001
3,3203.68701171875,1054.7833251953125,39.33732986450195,0.001
4,3033.677490234375,997.4835205078125,41.227272033691406,0.001
5,2864.844970703125,941.0336303710938,41.74425506591797,0.001
6,2812.115966796875,923.6063232421875,41.297122955322266,0.001
7,2803.263671875,919.944091796875,43.43146896362305,0.001
8,2751.844970703125,902.5913696289062,44.07108688354492,0.001
9,2706.705810546875,888.3743286132812,41.58235549926758,0.001
10,2598.476806640625,852.5635375976562,40.78612518310547,0.001
11,2555.70263671875,838.451171875,40.34912872314453,0.001
12,2540.876220703125,832.5547485351562,43.21212387084961,0.001
13,2505.21728515625,820.3281860351562,44.23249053955078,0.001
14,2399.197509765625,784.7144165039062,45.05400466918945,0.001
15,2391.989990234375,784.0982055664062,39.695167541503906,0.001
16,2307.259765625,755.2490844726562,41.512088775634766,0.001
17,2222.10888671875,726.1432495117188,43.67909622192383,0.001
18,2152.62109375,703.556396484375,41.95183181762695,0.001
19,2145.140380859375,701.423095703125,40.870479583740234,0.001
20,2081.8037109375,679.99267578125,41.82542419433594,0.001
21,2003.866455078125,655.1563110351562,38.397430419921875,0.001
22,1850.9503173828125,602.8163452148438,42.50121307373047,0.001
23,1788.5501708984375,581.9856567382812,42.593265533447266,0.001
24,1769.1668701171875,575.8993530273438,41.46875,0.001
25,1839.2391357421875,597.8297729492188,45.74979782104492,0.001
26,2032.2176513671875,664.4282836914062,38.93269348144531,0.001
27,1807.4075927734375,589.4825439453125,38.95996856689453,0.001
28,1694.81494140625,551.2960815429688,40.92689895629883,0.001
29,1663.48779296875,540.36083984375,42.40577697753906,0.001
30,1669.903076171875,542.7059936523438,41.78510284423828,0.001
31,1637.234130859375,531.85107421875,41.680912017822266,0.001
32,1606.24853515625,521.89697265625,40.55756759643555,0.001
