Unnamed: 0,mse,mae,r2
b0 l0,0.531198289080641,0.584013369544903,0.222231903194229
b0 l1,0.79015189845701,0.722803631361912,-0.156921908227532
b0 l2,0.671379757131228,0.629845240122056,0.0169814800389839
b1 l0,0.501243324386923,0.576088520607512,0.266091261099993
b1 l1,0.532880648472357,0.574158220676163,0.219768631965508
b1 l2,0.519104785736481,0.565281472945803,0.239938927620044
b2 l0,0.512324364739014,0.566935653075449,0.249866661280234
b2 l1,0.534525520392382,0.572756954799105,0.217360249015063
b2 l2,0.526859071781356,0.56846509852855,0.228585283560594
b3 l0,0.536292827619662,0.586075565105001,0.214772599154572
b3 l1,0.503407773250307,0.578390659047867,0.262922125755032
b3 l2,0.557638026243045,0.580780475744839,0.183519459130379
b4 l0,0.522304101388523,0.569191194650237,0.23525456455465
b4 l1,0.551081721161377,0.581760438374296,0.193119047514355
b4 l2,0.538645597917724,0.577752808913278,0.211327727974523
b5 l0,0.510796967313184,0.57589305634554,0.252103040826957
b5 l1,0.555795500173866,0.579845628632526,0.18621724265792
b5 l2,0.706408096835151,0.597241445711016,-0.0343061947630909
b6 l0,0.78835821992426,0.588359563172067,-0.154295646119059
b6 l1,0.503244884750862,0.562289375561275,0.263160623281869
b6 l2,1.00149017209314,0.826285203476007,-0.466358459976731
b7 l0,0.914240939122635,0.598276388614945,-0.338610176011666
b7 l1,0.571377171187944,0.585257359778337,0.163402924805639
b7 l2,0.7573986761535,0.653905914718488,-0.10896540705102
b8 l0,0.576332218634277,0.623705152363053,0.156147860357698
b8 l1,0.567612333079792,0.587628387659681,0.168915312609499
b8 l2,0.533573786964397,0.570995469048516,0.218753754815376
b9 l0,0.565305480188744,0.687086679981472,0.172292952597359
b9 l1,0.568536575203411,0.586055989296392,0.167562058933327
b9 l2,0.570540999007856,0.587670001415725,0.164627228532661
b0 l3,0.50808929891929,0.574788067781384,0.256067545488945
b0 l4,0.566990895245467,0.641458282928677,0.169825207335484
b1 l3,0.649773622180837,0.60319978493903,0.0486166769233303
b1 l4,0.618832005787977,0.592712725517626,0.09392066714442
b2 l3,0.625624578266513,0.701825156958648,0.0839751415701753
b2 l4,0.611258627281977,0.591133052780991,0.105009430621418
b3 l3,0.65733902202785,0.718093992503429,0.037539595612
b3 l4,0.63596414017892,0.607320275084195,0.0688361971200032
b4 l3,0.519026022252482,0.571029536531786,0.240054251269059
b4 l4,0.927205433969021,0.85049408087739,-0.357592485800678
b5 l3,0.642108605847094,0.613154139022366,0.0598396143620002
b5 l4,0.575514591700674,0.58804846031138,0.157345010569055
b6 l3,0.51102571842727,0.57354684007136,0.251768108801944
b6 l4,0.60372474477318,0.594726278027852,0.116040364984115
b7 l3,0.572944119744001,0.584032284346734,0.161108635420134
b7 l4,0.542977847399103,0.641885062352932,0.204984549723984
b8 l3,0.522775454369682,0.571276580164345,0.234564420556418
b8 l4,0.704708458060471,0.610856772718047,-0.0318176234664326
b9 l3,0.577902407675017,0.585931376007543,0.153848826330395
b9 l4,0.55234149363321,0.647468465339836,0.191274518158807
