Unnamed: 0,mse,mae,r2
b0 l0,0.546309954562674,0.600529566762567,0.200105756436738
b0 l1,1.15390850550909,0.843184134716426,-0.689525814872407
b0 l2,0.959757468510144,0.780248346430732,-0.405254412566338
b1 l0,0.538277198986933,0.646190983993261,0.211867129062887
b1 l1,0.547096217516701,0.577566620555802,0.198954528629885
b1 l2,0.522966997562741,0.565051614024049,0.234283967498146
b2 l0,0.599269799599045,0.686903280040835,0.122563191395054
b2 l1,0.574211632931779,0.588917313094861,0.159252772289548
b2 l2,0.532778997666431,0.569977072372474,0.21991746669538
b3 l0,0.67793688738569,0.685147320551131,0.0073806834563235
b3 l1,0.509134889226783,0.614595829245505,0.254536616643324
b3 l2,0.565902968296084,0.583825823887251,0.171418124500841
b4 l0,0.493209381480887,0.566684847127792,0.277854372187358
b4 l1,0.594636075345882,0.596969077108538,0.129347781947375
b4 l2,0.551753892950577,0.582768373922844,0.192134869319584
b5 l0,0.583572224586377,0.670824419487581,0.145547213168166
b5 l1,1.28220160017944,0.901617419848816,-0.877369560091864
b5 l2,0.859466395222223,0.620416380566853,-0.258410571384625
b6 l0,1.00834871237999,0.615953965371611,-0.476400574071264
b6 l1,0.495329841659928,0.561365786760538,0.274749644044014
b6 l2,1.40166345287338,1.0271080010207,-1.05228280759398
b7 l0,1.49943269936187,0.886991250673314,-1.19543424902482
b7 l1,0.715966691922497,0.633965361719797,-0.0483016658744328
b7 l2,1.16369843245814,0.852784334553954,-0.703859996678989
b8 l0,0.823840653141179,0.740278058867358,-0.206248194010212
b8 l1,0.666100842761266,0.630824201715732,0.0247107428531235
b8 l2,0.54057292211789,0.57207850754865,0.208505785009148
b9 l0,21.8215582948595,3.9456562817273,-30.9506147011564
b9 l1,0.631361110172423,0.608410531365097,0.0755758458750658
b9 l2,0.594846037295972,0.597634545493809,0.129040360576335
b0 l3,0.511790186350886,0.585575384717904,0.250648792768286
b0 l4,0.594052160072224,0.658990899634258,0.130202737018625
b1 l3,1.00402806049806,0.747800741397679,-0.47007437675428
b1 l4,0.711669206632907,0.633507566363919,-0.0420093885395027
b2 l3,0.71372564619984,0.749266758654384,-0.0450203792016494
b2 l4,0.825431445985691,0.687791081713084,-0.208577395644559
b3 l3,0.786746755504131,0.777827853295218,-0.151936177647722
b3 l4,0.711510701170322,0.642374802756022,-0.0417773085526094
b4 l3,0.520013733699058,0.571730879898418,0.238608067296354
b4 l4,1.33902671419025,1.01154583450139,-0.960571561460235
b5 l3,0.825743177728823,0.711027435899076,-0.209033825963619
b5 l4,0.627455048399497,0.605985311979075,0.081295010062119
b6 l3,0.510565776870801,0.577627727794703,0.252441544459345
b6 l4,0.689669221966947,0.633554910366244,-0.009797526123654
b7 l3,0.59805596986968,0.59125229774058,0.124340452462835
b7 l4,0.57405212789191,0.682530133515501,0.159486315834097
b8 l3,0.526023738326716,0.571914519787853,0.229808359245454
b8 l4,1.10726313886853,0.79413290002359,-0.621228761243668
b9 l3,4.99573901674777E+043,1.39521052069156E+021,-7.31464409254598E+043
b9 l4,0.720965895212515,0.756933075093863,-0.0556213822747837
