Unnamed: 0,mse,mae,r2
b0 l0,0.46823023564714,0.452537031059171,-0.136465599521718
b0 l1,0.495695184828476,0.504170505225722,-0.203127185128341
b0 l2,0.455172322023233,0.477040562945379,-0.10477206820889
b1 l0,0.448544434007535,0.477122605538289,-0.0886851815581095
b1 l1,0.538993134239517,0.475875013050636,-0.308217856958772
b1 l2,0.510258075410923,0.500174200502691,-0.238473523140187
b2 l0,0.492812444840247,0.526600102916885,-0.196130339176135
b2 l1,0.464897282047347,0.460938512812065,-0.128376017041569
b2 l2,0.593781915830667,0.590186960106604,-0.441198516424289
b3 l0,0.498378681895098,0.490244740830915,-0.209640438375257
b3 l1,0.440413900707186,0.480316516550419,-0.0689511475334996
b3 l2,0.418689048673447,0.435116110440182,-0.0162216458666093
b4 l0,0.472303032413577,0.472824669405035,-0.146350893265088
b4 l1,1.02751242560327,0.791270483375939,-1.49392806332832
b4 l2,0.474150784246569,0.469116893537296,-0.150835666427475
b5 l0,0.534695900083442,0.519009856874941,-0.297787819725662
b5 l1,0.509705290270247,0.491504170718139,-0.23713182999763
b5 l2,0.546225299683423,0.542169414062194,-0.325771416321912
b6 l0,0.45432128322455,0.462384691926357,-0.102706468328897
b6 l1,0.453579370522687,0.448822397083972,-0.100905733990692
b6 l2,0.558368293070212,0.542491647400714,-0.355244297841904
b7 l0,0.457505644018452,0.478161883105223,-0.110435393595189
b7 l1,0.459813796894561,0.45345397945944,-0.1160376297227
b7 l2,0.912619020588153,0.867747199596937,-1.21506439227314
b8 l0,0.569698451003221,0.534288932105518,-0.382744304778056
b8 l1,0.447844634794115,0.452055718920147,-0.0869866630258229
b8 l2,0.5796472057072,0.545028910973163,-0.406891437146655
b9 l0,19.8200011057722,3.91866324053446,-47.1061403650303
b9 l1,0.404207575688782,0.454003002816793,0.0189270793213934
b9 l2,0.471658185132132,0.452007952881255,-0.144785751382924
b0 l3,0.480702140593201,0.450557963328671,-0.166736799142378
b0 l4,0.541706977884642,0.446020643587173,-0.314804765941493
b1 l3,0.458957213780177,0.463805233139679,-0.113958572949949
b1 l4,0.525564767336517,0.483401272920933,-0.27562517950828
b2 l3,0.5778427001845,0.519800940718379,-0.402511629320147
b2 l4,0.770410287908808,0.620656843399219,-0.869902289662895
b3 l3,0.438937287429749,0.461614198043398,-0.0653671837783922
b3 l4,0.4696297203541,0.466581540254262,-0.139862360570945
b4 l3,0.599896359637075,0.57525031029059,-0.456039196323117
b4 l4,0.449627326924001,0.452542706148502,-0.0913135264487985
b5 l3,0.493455007175141,0.479150893884831,-0.197689935147433
b5 l4,0.722956822498101,0.602777194349073,-0.754725551999153
b6 l3,0.512241711973741,0.488655485912091,-0.243288109093782
b6 l4,0.600003070051633,0.550334541674699,-0.456298198638694
b7 l3,0.601858335625453,0.555580518943564,-0.460801208786489
b7 l4,0.456860768796862,0.491207677280743,-0.108870183898067
b8 l3,0.591271308506005,0.507877099332548,-0.435104892729864
b8 l4,0.976316441323105,0.780884463578108,-1.36966766633015
b9 l3,0.43462990490717,0.46381952018539,-0.0549125149248814
b9 l4,0.45742202463868,0.517472674961662,-0.110232436713448
