Unnamed: 0,mse,mae,r2
b0 l0,0.502474339032034,0.443856247570441,-0.219581217695351
b0 l1,0.45213468380584,0.454159611113395,-0.0973992608268792
b0 l2,0.434157891000328,0.50662665143441,-0.0537668657831074
b1 l0,0.427779951865019,0.47523219922962,-0.0382866428686183
b1 l1,0.479634696118352,0.483546652493126,-0.164145949955996
b1 l2,0.496868367713394,0.44135306354994,-0.205974677428393
b2 l0,0.419903124972643,0.491858568702113,-0.0191683926680501
b2 l1,0.47649038385005,0.444503267889342,-0.156514228518487
b2 l2,0.515317481318931,0.562021739923199,-0.250753466490109
b3 l0,0.447994210582419,0.461456519434389,-0.0873497060866652
b3 l1,0.433022239941601,0.466427383694045,-0.051010468901733
b3 l2,0.43803087649631,0.464644122673144,-0.0631671873525752
b4 l0,0.434272313265977,0.459917691526433,-0.0540445859276639
b4 l1,0.537280384788489,0.538678011943281,-0.304060754995883
b4 l2,0.446257558036067,0.457323624281985,-0.0831345876961955
b5 l0,0.442224938425298,0.462642568851237,-0.0733468099862355
b5 l1,0.447306805252575,0.45834390146752,-0.085681269384334
b5 l2,0.449526111442008,0.463522565363197,-0.091067861165639
b6 l0,0.464860994142909,0.450620006847295,-0.128287940809127
b6 l1,0.434047995211645,0.447530678210573,-0.0535001320827575
b6 l2,0.475259526275195,0.463721114651857,-0.153526751022932
b7 l0,0.418619598738071,0.478270789349663,-0.0160530803694769
b7 l1,0.459707840472599,0.486611321966628,-0.115780457461191
b7 l2,0.758502610887911,0.789346569988715,-0.841000556553411
b8 l0,0.437141467424236,0.463333257022663,-0.0610084570157392
b8 l1,0.437299293341511,0.469529788102679,-0.0613915243873881
b8 l2,0.462748726020161,0.490175239577592,-0.123161146604665
b9 l0,0.531697499107556,0.445142156693974,-0.290510247063234
b9 l1,0.428881272569126,0.476591209418703,-0.0409597147870279
b9 l2,0.432762667438171,0.467903231807965,-0.050380447176795
b0 l3,0.478790560989586,0.497902834635413,-0.162097106327041
b0 l4,0.61712320003033,0.501031086532054,-0.497851343435588
b1 l3,0.427706230234827,0.47624357303306,-0.0381077093220951
b1 l4,0.440221736260024,0.462766569599315,-0.0684847353562743
b2 l3,0.488235308971643,0.50286046622553,-0.185020938152905
b2 l4,0.580068243229722,0.495009868742751,-0.407913358893749
b3 l3,0.418004822430013,0.488987931249556,-0.0145609252878162
b3 l4,0.506791300252416,0.586770752657516,-0.230059135497162
b4 l3,0.49013965330139,0.483840660366587,-0.189643069864265
b4 l4,0.48059533366307,0.445520445345478,-0.166477562568908
b5 l3,0.482201967573797,0.466430891339299,-0.170377106066014
b5 l4,0.512700788525794,0.498325140844251,-0.24440235731877
b6 l3,0.490219707892728,0.43473410843404,-0.189837374465321
b6 l4,0.491819099938458,0.483396708114415,-0.193719340860781
b7 l3,0.458564873886621,0.519530003538257,-0.113006304688737
b7 l4,0.444086007772075,0.45735400135028,-0.0778639067687911
b8 l3,0.51941408207147,0.43563481564207,-0.260696536107987
b8 l4,0.688737372870973,0.647814778455641,-0.671669772224384
b9 l3,0.49484236691356,0.444823841556857,-0.201057267064169
b9 l4,0.430079124913107,0.464200868254752,-0.043867083595364
