,lags,params,mean_squared_error,max_depth,n_estimators
3,[1 2],"{'max_depth': 3, 'n_estimators': 50}",0.7083693909670069,3,50
26,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 5}",0.7367717402505074,10,5
4,[1 2],"{'max_depth': 3, 'n_estimators': 100}",0.7624216944962904,3,100
53,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 50}",0.7653166136210259,5,50
18,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 50}",0.7736328088808772,3,50
11,[1 2],"{'max_depth': 10, 'n_estimators': 5}",0.814313602494021,10,5
54,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 100}",0.8331366239580834,5,100
19,[1 2 3 4 5 6],"{'max_depth': 3, 'n_estimators': 100}",0.8384913005707123,3,100
23,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 50}",0.8522128768166481,5,50
24,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 100}",0.8532417607111804,5,100
22,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 10}",0.8894339590412782,5,10
58,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 50}",0.9016806458130141,10,50
12,[1 2],"{'max_depth': 10, 'n_estimators': 10}",0.9128668013993189,10,10
13,[1 2],"{'max_depth': 10, 'n_estimators': 50}",0.9261445681697156,10,50
59,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 100}",0.9615263107043271,10,100
14,[1 2],"{'max_depth': 10, 'n_estimators': 100}",0.9851974130049045,10,100
27,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 10}",1.0817935182786609,10,10
