Unnamed: 0,mse,mae,r2
b0 l0,0.646226144993138,0.756355201325243,0.053810809956992
b0 l1,0.725890835104402,0.817152589236095,-0.0628323639464782
b0 l2,0.558062984353222,0.630167516938486,0.182897245415898
b1 l0,0.984956022987586,0.945139124111219,-0.442149546005295
b1 l1,0.603855093029247,0.71568435371782,0.115849512119701
b1 l2,0.558626049560469,0.590710031521622,0.18207281852368
b2 l0,0.636861932875028,0.71659377952223,0.0675216700762771
b2 l1,0.65796507683007,0.62263882757658,0.03662294082973
b2 l2,0.669541238039779,0.776222756891058,0.0196733966435568
b3 l0,0.730199231284407,0.821460640003471,-0.0691406167516739
b3 l1,0.641860690391403,0.74528857511957,0.0602026063672558
b3 l2,0.531589591930437,0.603859941689708,0.221658966723956
b4 l0,0.537377208998482,0.637218595938792,0.213184873330612
b4 l1,0.540324191289035,0.609265046901326,0.208869970864699
b4 l2,0.648829407201519,0.751346473822286,0.04999917438715
b5 l0,0.645507146649875,0.729359674775798,0.0548635504957725
b5 l1,0.565116177818975,0.645915138297344,0.172570124694639
b5 l2,0.729809937258089,0.619063309066768,-0.0685706215537012
b6 l0,0.86737802493583,0.620340865364825,-0.269994594359613
b6 l1,0.516319390210669,0.615257573314104,0.244017238528596
b6 l2,1.17712908201656,0.99522201280647,-0.7235248392823
b7 l0,0.681777562456956,0.787948791778463,0.0017572569468026
b7 l1,0.517151775117143,0.602690820080851,0.24279848003892
b7 l2,0.550954653139243,0.647240279654815,0.193305097537051
b8 l0,0.654194577071828,0.696963846554515,0.0421436182890835
b8 l1,0.537907286297791,0.622877569297518,0.212408746560782
b8 l2,0.507008893967659,0.584333144493441,0.257649449121321
b9 l0,0.598828875644135,0.710531510018259,0.12320878192555
b9 l1,0.546276294224853,0.599112548218389,0.200155041115215
b9 l2,0.523257929549936,0.626177543051256,0.233857991694699
b0 l3,0.56748599864543,0.687604357053786,0.169100288530157
b0 l4,0.746823310124213,0.829934852984418,-0.0934812037342904
b1 l3,0.590858219207394,0.690614651956916,0.134879230446434
b1 l4,0.554360685338128,0.638324704741864,0.188318064944061
b2 l3,0.875955000595926,0.901579195780566,-0.282552801290301
b2 l4,0.584176927639693,0.647968097320605,0.144661821116688
b3 l3,0.825722763851243,0.877135193163261,-0.209003936442061
b3 l4,0.523602712581281,0.590312775546906,0.233353168453336
b4 l3,0.602269386566005,0.727188757996789,0.118171266393688
b4 l4,0.762378483040366,0.83770483762412,-0.116256723692045
b5 l3,0.669458888277748,0.779380710198878,0.0197939712368943
b5 l4,0.555566821670528,0.65730234493868,0.186552068367976
b6 l3,0.571397756712558,0.692814418055774,0.163372783962513
b6 l4,0.527098786698716,0.592050805919828,0.228234298591546
b7 l3,0.520726400477298,0.595782393879398,0.237564597286825
b7 l4,0.601119274340782,0.71264684618323,0.119855233783856
b8 l3,0.534613414919581,0.614562690937417,0.217231555906399
b8 l4,0.841148057938692,0.651224116888146,-0.231589290859952
b9 l3,0.710831893236935,0.809451300679294,-0.0407834138709066
b9 l4,0.889481975296158,0.88108521756579,-0.302358680910787
