,lags,params,mean_squared_error,max_depth,n_estimators
52,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 10}",0.8420289986811414,5,10
22,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 10}",0.8528673626708764,5,10
57,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 10}",0.8689072350526619,10,10
54,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 100}",0.908382811878376,5,100
53,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 50}",0.9142826678369347,5,50
43,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 50}",0.9321812909410819,10,50
44,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 100}",0.932749172068411,10,100
23,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 50}",0.9922807110410605,5,50
24,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 100}",0.9955276288304084,5,100
58,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 50}",0.9964579655383887,10,50
59,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 10, 'n_estimators': 100}",1.0130479397656451,10,100
27,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 10}",1.0921333917054379,10,10
29,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 100}",1.2831616574244282,10,100
28,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 50}",1.4057636604001993,10,50
