,mse,mae,r2
0,0.7035778164863586,0.748727560043335,-0.008138061
1,0.7063490748405457,0.7548127174377441,-0.012109041
2,0.688735842704773,0.7380824089050293,0.013128638
3,0.7180973887443542,0.7471396923065186,-0.028942943
4,0.7122779488563538,0.7494727373123169,-0.020604372
5,0.7232446074485779,0.7403101921081543,-0.036318183
6,0.7075969576835632,0.7408715486526489,-0.013897061
7,0.7084988355636597,0.7609440088272095,-0.015189409
8,0.7063376903533936,0.7479996681213379,-0.01209271
9,0.7191266417503357,0.7455736994743347,-0.03041768
10,0.6999955177307129,0.7486514449119568,-0.003005147
11,0.6969868540763855,0.7445493340492249,0.0013059378
12,0.7141991853713989,0.7661375403404236,-0.023357272
13,0.711754322052002,0.7583935856819153,-0.019854069
14,0.7055648565292358,0.7347781658172607,-0.010985374
15,0.7018346190452576,0.7462596297264099,-0.0056402683
16,0.7024976015090942,0.7400504946708679,-0.0065903664
17,0.7182596921920776,0.7497981190681458,-0.0291754
18,0.7291922569274902,0.7562087178230286,-0.044840336
19,0.7020644545555115,0.7254889011383057,-0.0059695244
20,0.7081695795059204,0.737604022026062,-0.014717579
21,0.7065754532814026,0.7543098330497742,-0.01243341
22,0.720645010471344,0.7597962021827698,-0.03259313
23,0.7174392342567444,0.7560057044029236,-0.027999759
24,0.7071996331214905,0.7567319273948669,-0.013327837
25,0.6945239901542664,0.7334136962890625,0.0048348904
26,0.7291114926338196,0.762814462184906,-0.044724584
27,0.7081509828567505,0.7403900623321533,-0.014690876
28,0.7109383940696716,0.7490912675857544,-0.018684864
29,0.7124394774436951,0.7509022951126099,-0.020835876
30,0.7186670899391174,0.7594298720359802,-0.02975905
31,0.7036774754524231,0.7464621067047119,-0.0082809925
32,0.7132541537284851,0.7585563659667969,-0.022003174
33,0.7047644257545471,0.7488469481468201,-0.009838343
34,0.7134131789207458,0.7546827793121338,-0.022230983
35,0.7111364006996155,0.7520515322685242,-0.018968701
36,0.7138931751251221,0.7531762719154358,-0.022918701
37,0.6986006498336792,0.7498347759246826,-0.001006484
38,0.7141302824020386,0.7545053958892822,-0.023258448
39,0.7216392755508423,0.7499314546585083,-0.03401792
40,0.7080802321434021,0.7533597350120544,-0.014589548
41,0.7107720375061035,0.7506531476974487,-0.018446445
42,0.7288504242897034,0.7478742003440857,-0.044350505
43,0.7137356400489807,0.7476113438606262,-0.022693038
44,0.7239511013031006,0.7459279298782349,-0.03733051
45,0.7144843935966492,0.7494860291481018,-0.023765922
46,0.71146559715271,0.7465956807136536,-0.019440413
47,0.7134585380554199,0.7509896159172058,-0.022295952
48,0.7123379111289978,0.745516836643219,-0.020690322
49,0.6999202370643616,0.7444133162498474,-0.0028971434
50,0.7242931723594666,0.7626019716262817,-0.037820578
51,0.7094483375549316,0.7457330226898193,-0.016549826
52,0.7104766368865967,0.741813600063324,-0.018023252
53,0.706731379032135,0.7501665949821472,-0.012656808
54,0.722839891910553,0.7573672533035278,-0.03573835
55,0.7213547825813293,0.7530009150505066,-0.033610225
56,0.7140646576881409,0.7504875659942627,-0.023164272
57,0.7347933650016785,0.7615890502929688,-0.0528661
58,0.7010101675987244,0.7432162165641785,-0.0044590235
59,0.7286277413368225,0.7607876658439636,-0.04403162
60,0.7133119106292725,0.7422268390655518,-0.022085786
61,0.7065231204032898,0.757366955280304,-0.012358308
62,0.7085846662521362,0.7599132657051086,-0.015312314
63,0.7183777689933777,0.7401728630065918,-0.02934444
64,0.7099530696868896,0.7487250566482544,-0.017273068
65,0.6985501050949097,0.7531787753105164,-0.000934124
66,0.7234246134757996,0.7541961073875427,-0.03657615
67,0.7022652626037598,0.7399089932441711,-0.006257415
68,0.6959381103515625,0.7405945062637329,0.0028085113
69,0.704955518245697,0.7529563307762146,-0.010112286
70,0.6985116600990295,0.7425812482833862,-0.0008789301
71,0.7149960994720459,0.7585117220878601,-0.024499178
72,0.7287625670433044,0.7570258378982544,-0.04422474
73,0.7107718586921692,0.7484437227249146,-0.018446207
74,0.7210707068443298,0.7652678489685059,-0.033203125
75,0.7091178894042969,0.7467675805091858,-0.016076326
76,0.7079388499259949,0.7533836960792542,-0.014386892
77,0.7044388055801392,0.7482194304466248,-0.0093717575
78,0.7339634895324707,0.7627010941505432,-0.051677108
79,0.7062163949012756,0.7420250177383423,-0.011918902
80,0.7151169180870056,0.7453323602676392,-0.02467227
81,0.7090052366256714,0.7476316094398499,-0.015914917
82,0.7169407606124878,0.752905547618866,-0.027285576
83,0.7161076664924622,0.7555416226387024,-0.026091814
84,0.7081999778747559,0.7514588236808777,-0.01476109
85,0.732045590877533,0.74994957447052,-0.048928738
86,0.7187519669532776,0.7443938255310059,-0.029880762
87,0.7264595627784729,0.7333937287330627,-0.040924788
88,0.7146815061569214,0.7655344605445862,-0.024048328
89,0.7282059788703918,0.7602319121360779,-0.04342723
90,0.6946579813957214,0.7555956840515137,0.0046427846
91,0.704372763633728,0.7523402571678162,-0.009277105
92,0.7048349976539612,0.748829185962677,-0.009939432
93,0.7098687291145325,0.7576975226402283,-0.01715231
94,0.7287253141403198,0.7652743458747864,-0.044171333
95,0.716212809085846,0.7472316026687622,-0.026242495
96,0.7074301838874817,0.746415376663208,-0.013658166
97,0.7106692790985107,0.7576820254325867,-0.018299222
98,0.7218528389930725,0.75091552734375,-0.03432381
99,0.6897472739219666,0.7389651536941528,0.011679351
