,loss,reconstruction_loss,kl_loss,lr
0,14467.626953125,4797.5908203125,74.85801696777344,0.001
1,9078.8408203125,2968.970703125,171.9284210205078,0.001
2,8582.4775390625,2817.1669921875,130.97805786132812,0.001
3,8260.87890625,2690.11083984375,190.54579162597656,0.001
4,8026.3662109375,2621.040771484375,163.2439422607422,0.001
5,7897.52880859375,2594.5693359375,113.81945037841797,0.001
6,7825.8427734375,2579.4658203125,87.44314575195312,0.001
7,7830.58837890625,2585.61865234375,73.73309326171875,0.001
8,7743.30908203125,2552.994384765625,84.32565307617188,0.001
9,7659.75,2528.2353515625,75.04460906982422,0.001
10,7632.71484375,2521.831787109375,67.2204360961914,0.001
11,7589.8681640625,2508.81884765625,63.40996551513672,0.001
12,7581.54931640625,2507.849365234375,58.00181198120117,0.001
13,7561.8681640625,2502.7451171875,53.63328552246094,0.001
14,7743.95068359375,2559.279052734375,66.11612701416016,0.001
15,7599.83837890625,2500.47509765625,98.41323852539062,0.001
16,7639.404296875,2511.5546875,104.74127960205078,0.001
17,7542.2666015625,2483.922119140625,90.50122833251953,0.001
18,7454.46435546875,2459.441650390625,76.1407241821289,0.001
19,7433.58544921875,2455.707763671875,66.46392822265625,0.001
20,7407.63427734375,2449.385498046875,59.47819137573242,0.001
21,7376.94287109375,2439.590576171875,58.16974639892578,0.001
22,7370.0771484375,2437.6025390625,57.269874572753906,0.001
23,7290.87744140625,2411.222412109375,57.20909118652344,0.001
24,7462.12890625,2467.6123046875,59.292747497558594,0.001
25,6918.978515625,2282.713623046875,70.83812713623047,0.001
26,6697.05810546875,2209.434326171875,68.75418090820312,0.001
27,6580.30419921875,2171.959228515625,64.42684936523438,0.001
28,6534.87744140625,2155.160400390625,69.39653778076172,0.001
29,6534.06884765625,2151.03955078125,80.95065307617188,0.001
30,6450.326171875,2123.52099609375,79.76394653320312,0.001
31,6404.78515625,2110.128662109375,74.3993148803711,0.001
32,6486.2255859375,2139.1435546875,68.79429626464844,0.001
33,6388.76171875,2107.980712890625,64.82058715820312,0.001
34,6156.126953125,2030.71240234375,63.98965072631836,0.001
35,6063.28662109375,1998.814697265625,66.84156799316406,0.001
36,6235.19873046875,2051.166015625,81.7010269165039,0.001
37,6014.48681640625,1979.8603515625,74.90608215332031,0.001
38,5809.42578125,1911.646240234375,74.48619842529297,0.001
39,5666.33984375,1861.6953125,81.25457000732422,0.001
40,5705.095703125,1873.1126708984375,85.75709533691406,0.001
