mse,mae,r2
0.09826918691396713,0.23348771035671234,0.44847476
0.09726794809103012,0.23079292476177216,0.45409417
0.10533668100833893,0.24285204708576202,0.40880924
0.1007513478398323,0.23355627059936523,0.4345439
0.1031980887055397,0.23564977943897247,0.4208119
0.10328995436429977,0.24371013045310974,0.42029625
0.09560375660657883,0.22607339918613434,0.46343422
0.09527263045310974,0.2245292365550995,0.4652927
0.09716401994228363,0.23707860708236694,0.45467746
0.09670756757259369,0.23615792393684387,0.45723927
0.0949234887957573,0.23994018137454987,0.4672522
0.09626536071300507,0.22605229914188385,0.4597211
0.10091426968574524,0.23297297954559326,0.4336295
0.10154195129871368,0.24546915292739868,0.43010676
0.0946539118885994,0.22425609827041626,0.46876514
0.10637576133012772,0.24578875303268433,0.40297753
0.09542199224233627,0.23371021449565887,0.4644543
0.0944022461771965,0.23082314431667328,0.4701776
0.09651049971580505,0.23343227803707123,0.4583453
0.09373246878385544,0.23084042966365814,0.47393662
0.104521244764328,0.24248164892196655,0.41338575
0.09115804731845856,0.22258049249649048,0.48838532
0.09694577753543854,0.22680450975894928,0.45590228
0.10242761671543121,0.23829205334186554,0.42513603
0.10926003754138947,0.25175678730010986,0.38678974
0.08770936727523804,0.21638329327106476,0.5077406
0.11015593260526657,0.2538053095340729,0.38176167
0.10899157077074051,0.2453276664018631,0.3882966
0.105525903403759,0.2424553781747818,0.40774727
0.10213903337717056,0.23901283740997314,0.42675573
0.1015230119228363,0.23313190042972565,0.43021303
0.0944635197520256,0.23270905017852783,0.46983367
0.10377805680036545,0.2488952875137329,0.41755688
0.10163892060518265,0.23550546169281006,0.42956257
0.09658244997262955,0.22449614107608795,0.45794147
0.09609851986169815,0.22996683418750763,0.46065742
0.09252071380615234,0.2160685509443283,0.4807375
0.10362052172422409,0.2411937117576599,0.418441
0.09933982789516449,0.23633867502212524,0.44246596
0.09932103008031845,0.2289147675037384,0.4425714
0.09495843946933746,0.23248136043548584,0.46705604
0.09814675897359848,0.2319469451904297,0.44916195
0.09223036468029022,0.2173650711774826,0.48236704
0.09032290428876877,0.21471185982227325,0.49307245
0.1001570075750351,0.2363898605108261,0.43787962
0.09530248492956161,0.22462409734725952,0.46512508
0.09838226437568665,0.22751837968826294,0.4478401
0.10624423623085022,0.2517469823360443,0.40371567
0.09712621569633484,0.23685063421726227,0.4548896
0.09916800260543823,0.22624871134757996,0.44343036
0.10553015768527985,0.2498549073934555,0.40772337
0.09708759188652039,0.22548025846481323,0.45510638
0.10056157410144806,0.24646292626857758,0.43560904
0.09630679339170456,0.22710207104682922,0.45948857
0.09114522486925125,0.22257211804389954,0.48845726
0.09580237418413162,0.23135526478290558,0.4623195
0.09675189852714539,0.2264556735754013,0.45699036
0.1057216003537178,0.2513478696346283,0.40664887
0.09294339269399643,0.22582338750362396,0.47836518
0.09726734459400177,0.22521057724952698,0.4540975
0.09922284632921219,0.23834851384162903,0.4431225
0.10588591545820236,0.24633067846298218,0.40572673
0.10367797315120697,0.23622137308120728,0.4181186
0.09786761552095413,0.23526163399219513,0.4507286
0.10659804195165634,0.24034298956394196,0.40172994
0.10342718660831451,0.24270747601985931,0.41952604
0.09945221245288849,0.23937323689460754,0.44183517
0.09638748317956924,0.23314224183559418,0.45903563
0.09922344237565994,0.23734977841377258,0.4431191
0.10145289450883865,0.23550046980381012,0.4306066
0.09591110795736313,0.2322758585214615,0.46170926
0.10757564753293991,0.25503817200660706,0.39624333
0.09590668231248856,0.22472022473812103,0.46173406
0.09250431507825851,0.2298070341348648,0.48082954
0.1032690480351448,0.24808092415332794,0.42041367
0.10171825438737869,0.23303593695163727,0.42911726
0.10024095326662064,0.2325545698404312,0.4374085
0.09812957048416138,0.23088008165359497,0.4492584
0.10449017584323883,0.23979604244232178,0.4135602
0.09270833432674408,0.21726123988628387,0.47968453
0.10364964604377747,0.23963603377342224,0.41827756
0.1066136285662651,0.2551170885562897,0.40164256
0.10354462265968323,0.23825111985206604,0.418867
0.09781862050294876,0.23296158015727997,0.45100355
0.09919457137584686,0.2322046458721161,0.44328117
0.09710115194320679,0.22930289804935455,0.45503026
0.08825557678937912,0.21601228415966034,0.50467515
0.10523797571659088,0.24689635634422302,0.40936315
0.0968010425567627,0.22959116101264954,0.45671463
0.097616046667099,0.2321787178516388,0.4521405
0.09082097560167313,0.22074441611766815,0.4902771
0.09080863744020462,0.2134169340133667,0.4903463
0.10194596648216248,0.24614228308200836,0.42783928
0.09469137340784073,0.22642020881175995,0.46855485
0.09568282961845398,0.224580317735672,0.4629904
0.10428700596094131,0.24497824907302856,0.4147004
0.10260988026857376,0.23634032905101776,0.42411315
0.10571767389774323,0.24391014873981476,0.40667093
0.09535704553127289,0.22182442247867584,0.46481884
0.1050739660859108,0.24562016129493713,0.41028374
